Authors,Title,Year,Link,Type,Conference Name,Country,Institution_STD,RQ1: What is the purpose?,Main Purpose,RQ2 :What methods are used?,RQ2: Categorization,RQ2:CATEGORIZATION2,Near OOD vs Far OOD?,compare with other OOD methods?,Models/Backbones,"ID",COVARIATE SHIFT,SEMANTIC SHIFT,RQ7: Metrics,RQ8: Applications,RQ9: Open-source implementations,Link to github,Are the Datasets open-source?,Link to dataset
"Liao, X.; Liu, W.; Zhou, P.; Yu, F.; Xu, J.; Wang, J.; Wang, W.; Chen, C.; Zheng, X.",FOOGD: Federated Collaboration for Both Out-of-distribution Generalization and Detection,2024,https://www.scopus.com/inward/record.uri?eid=2-s2.0-105000503636&partnerID=40&md5=5366a4d0b2a83632a291623edf075952,Conference paper,NeurIPS,"China, Singapore",Zhejiang University; OPPO Research Institute; National University of Singapore,a method that estimates the probability density of each client  and obtains reliable global distribution as guidance for the FL process.,Method extension/modification,"A federated learning framework for open-world/OOD-aware learning that introduces score-based density modeling (SM3D) and Stein-based feature generalization (SAG), extending standard FL with distribution modeling rather than architecture changes.","Federated learning, Domain generalization",TRAINING,far,no,"WideResNet, ResNet-18","CIFAR-10, CIFAR-100, TinyImageNet","CIFAR-10-C, CIFAR-100-C, TinyImageNet-C","SVHN, Textures, iSUN, LSUN (Crop/Resize), PACS","AUROC, FPR95, ID ACC, ID-C ACC",Federated Learning,Yes,https://github.com/XeniaLLL/FOOGD-main.git,Yes,-
F. Cappio Borlino; L. Lu; T. Tommasi,Foundation Models and Fine-Tuning: A Benchmark for Out of Distribution Detection,2024,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10547247,Article,IEEE Access,Italy,Politecnico di Torino; Istituto Italiano di Tecnologia,Framework for foundation models to OOD detection,Evaluation study,"ReSEND, Knn_norm, Mahalonobis distance, MCM, FINE-TUNED: KNN_NORM, MSP, ReACT, ASH, Flow","Post hoc detection scoring, Analysis/benchmark",POSTHOC INFERENCE,both,no,"CLIP, ResNet-101, BiT, ViT-B, ViT-L","Textures, PatternNet, SUN, StanfordCars",DomainNet,"DomainNet, Textures, PatternNet, SUN, StanfordCars","AUROC, FPR95, ID ACC",General,Yes,https://github.com/FrancescoCappio/OODDetectionBench,Yes,-
"Yang, J.; Zhou, K.; Liu, Z.",Full-Spectrum Out-of-Distribution Detection,2023,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85163080052&doi=10.1007%2Fs11263-023-01811-z&partnerID=40&md5=20e7fb7a369e69d21b9a8c1b24950c28,Article,International Journal of Computer Vision,Singapore,Nanyang Technological University,New score function and three new benchmarks,New method,"SEM: feature-based semantics score function. SEM builds a score that isolates semantic information by explicitly removing non-semantic (style) factors. Two feature sources
High-level features (deep layers):
Encode object identity + some nuisance factors
Low-level feature statistics (shallow layers):
Means and variances of early CNN activations. Apply negative data augmentation (e.g., Mixup)","Contrastive and representation learning, Post hoc detection scoring",HYBRID METHODS,both,yes,"LeNet-5, ResNet-18",Digits Objects COVID,Digits Objects COVID,Digits Objects COVID,"FPR95, AUROC, AUPR","Object Detection, General, Medical Image",Yes,https://github.com/Jingkang50/OpenOOD,Yes,https://github.com/Jingkang50/OpenOOD
"Rudner, Tim G. J. and Kapoor, Sanyam and Qiu, Shikai and Wilson, Andrew Gordon",Function-Space Regularization in Neural Networks: A Probabilistic Perspective,2023,,Conference paper,International Conference on Machine Learning,USA,New York University,improve neural network generalization and out-of-distribution (OOD) detection,New method,"FS-EB (Function-Space Empirical Bayes) empirical prior over parameters that encodes desired behaviors of the predictive function, such as high-entropy predictions for inputs far from training data. Training proceeds in two steps: first, an auxiliary inference constructs the empirical prior by encouraging functions to match a stochastic prior over context points; second, the main inference performs MAP or variational training using this prior, resulting in an objective that simultaneously penalizes large parameter norms and function deviations from the prior.",Uncertainty and Bayesian evidential methods,TRAINING,far,no,"ResNet-50, ResNet-18",CIFAR-10,"CIFAR-10-C, CIFAR-100","Fashion-MNIST, KMNIST, SVHN","ECE, Negative Log-likelihood, area under the selective prediction accuracy, Accuracy",General,Yes,https://github.com/timrudner/ function-space-empirical-bayes.,Yes,-
"Alesiani, F.; Yu, S.; Yu, X.",Gated Information Bottleneck for Generalization in Sequential Environments,2021,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85125190243&doi=10.1109%2FICDM51629.20210010&partnerID=40&md5=12817d569f66e24136a74a5a49aeef0b,Conference paper,ICDM,"Germany, Norway, USA, China",NEC Laboratories Europe; UiT Arctic University of Norway; Xi’an Jiaotong University; University of Florida,Masking over latent features,New architecture,Uses gated information bottleneck to keep useful infor and remove irrlevant spurious information. Gated feature selection trainable. Uses softmax for scoring OOD,Domain generalization,TRAINING,far,no,MLP,"Colored MNIST, CIFAR-10",Colored MNIST,"Fashion-MNIST, SVHN, MNIST, KMNIST, EMNIST","AUROC, AUPR, FPR@TPR95, Detection Accuracy",General,Yes,https://github.com/falesiani/GIB,Yes,-
Samual MacDonaldHelena FoleyMelvyn YapRebecca L. JohnstonKaiah StevenLambros T. KoufariotisSowmya SharmaScott WoodVenkateswar AddalaJohn V. PearsonFred RoostaNicola WaddellOlga KondrashovaMaciej Trzaskowski,Generalising uncertainty improves accuracy and safety of deep learning analytics applied to oncology,2023,https://link.springer.com/article/10.1038/s41598-023-31126-5,Article,Scientific Reports,Australia,Max Kelsen,Compares existing bayesian uncertainity methods,Evaluation study,Compares existing bayesian uncertainity methods,"Uncertainty and Bayesian evidential methods, Analysis/benchmark",POSTHOC INFERENCE,both,no,ResNet,Internal Custom Dataset,"Internal Dataset, TCGA, MET500","Internal Dataset, TCGA, MET500","ADP, F1-AUC, ECE",Medical Image,No,-,No,-
"Wang, X., et al.",Generalizable decision boundaries: Dualistic meta-learning for open set domain generalization,2023,,Conference paper,ICCV,"China, Bangladesh",Nanjing University; Southeast University,Proposes MEDIC (Dualistic Meta-Learning with joint Domain–Class matching),New method,"extends domain generalization models with new training strategy with metalearning and a multibinary onevsall classifier desing for rejecting unknowns, ","Domain generalization, unknown class handling",TRAINING,Near,no,"ResNet-18, ResNet-50, ConvNet","PACS, Office-Home, Digits-DG","PACS, Office-Home, Digits-DG","PACS, Office-Home, Digits-DG","Open Set Classification Rate, H-Score, known class accuracy",General,Yes,https://github.com/zzwdx/MEDIC,Yes,-
"Gao, Z.; Li, B.; Salzmann, M.; He, X.",Generalize or Detect? Towards Robust Semantic Segmentation Under Multiple Distribution Shifts,2024,https://www.scopus.com/inward/record.uri?eid=2-s2.0-105000511780&partnerID=40&md5=b8dce69ce4a1017204c4d325ad639062,Conference paper,NeurIPS,China,ShanghaiTech University; EPFL; Shanghai Engineering Research Center of Intelligent Vision and Imaging,new training method for semantic segmentation under multiple distribution shifts,New method,"generative data augmentation, learn uncertainity function, two stage strategy with noise aware filtering and contrastive loss for separating shifts","Uncertainty and Bayesian evidential methods, Data augmentation and synthetic-shift methods, Contrastive and representation learning",HYBRID METHODS,far,yes,"DeepLabV3+, Mask2Former",Cityscapes,"Road Anomaly, SMIYC, ACDC-POC, MUAD","Road Anomaly, SMIYC, ACDC-POC, MUAD","AUROC, FPR@TPR95, Precision, ID ACC, iou",Autonomous Driving,Yes,https://github.com/gaozhitong/MultiShiftSeg,Yes,-
M. K. Yucel; R. G. Cinbis; P. Duygulu,HybridAugment++: Unified Frequency Spectra Perturbations for Model Robustness,2023,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10377944,Conference paper,ICCV,Turkiye,Hacettepe University,Improve CNN robustness under distribution shifts introducing frequency-spectrum-based data augmentation method ,Method extension/modification,"HybridAugment swaps high-frequency and low-frequency components between images forcing the network to rely on low frequency information. HybridAugment++ extends HA by transforming phase and amplitude components, allowing models to focus on low frequency  and phase information",Data augmentation and synthetic-shift methods,TRAINING,far,no,"ResNeXt, All Convolutional Network, DenseNet, WideResNet, ResNet-18, ResNet-50","CIFAR-10, CIFAR-100, ImageNet","CIFAR-10-C, CIFAR-100-C, ImageNet-C","SVHN, LSUN, CIFAR-100, ImageNet","ID ACC, AUROC, Corruption Error (CE)",General,Yes,https://github.com/MKYucel/ hybrid_augment ,Yes,-
"Zhang, Z., et al.",Industrial anomaly detection with domain shift: A real-world dataset and masked multi-scale reconstruction,2023,,Article,Computers in Industry,China,Xi’an Jiaotong University,"new dataset with non aligned object, multiscale views and strong domain shifts",Dataset / benchmark introduction,"an image is split into patches, a large portion is masked, and a Vision Transformer (ViT) processes only visible patches. A feature pyramid network reconstructs multi-scale feature representations of the masked regions, while a frozen pretrained CNN (teacher) provides reference multi-scale features. The model is trained to match reconstructed features to teacher features using a cosine-similarity loss across scales. At test time, anomalies are detected by comparing inconsistencies between the two feature streams; large mismatches indicate abnormal regions.","""Reconstruction, generative, diffusion""",TRAINING,Near,no,WideResNet-50,AeBAD-S,AeBAD-S,AeBAD-S,"AUROC, aREA UNDER THE pER-rEGION oVERLAP",Industrial Defect inspection,Yes,https://github.com/zhangzilongc/MMR,Yes,https://drive.google.com/file/d/14wkZAFFeudlg0NMFLsiGwS0E593b-lNo/view?usp=share_link
"Zhu, L.; Yang, Y.; Nie, Z.; Gao, Y.; Li, J.; Gu, Q.; Wang, X.; Zhou, C.; Ye, N.",InfoBound: A Provable Information-Bounds Inspired Framework for Both OoD Generalization and OoD Detection,2025,https://www.scopus.com/inward/record.uri?eid=2-s2.0-105012636227&doi=10.1109%2FTPAMI.2025.3595676&partnerID=40&md5=49d0d39df49af60d728c6d703cc4d47e,Article,IEEE Transactions on Pattern Analysis and Machine Intelligence,China,Shanghai Jiao Tong University; Beijing Jiaotong University; Shanghai Artificial Intelligence Laboratory, Mutual Information Minimization (MI-Min) and Conditional Entropy Maximizing (CE-Max) for OOD generalization and detection,New method,"energy-based pseudo labels on unlabeled wild data and jointly trains with representation alignment (MI-Min) and energy regularization (CE-Max), enabling a single model to become robust to covariate shifts while better detecting semantic OOD",Energy Based,TRAINING,far,yes,"WideResNet-40-2, ResNet-34, CLIP, Deformable DETR, ResNet-50","CIFAR-10, BDD100K","CIFAR-10-C, BDD100K","SVHN, Textures, LSUN (Crop), MS COCO, OpenImages","ID ACC, OOD ACC, FPR95, AUROC, mAP ID, mAP OOD","General, Object Detection",No,-,Yes,-
"Klaiber Aboitiz, F.J.; Legenstein, R.; Ozdenizci, O.",Interaction of Generalization and Out-of-Distribution Detection Capabilities in Deep Neural Networks,2023,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85174639903&doi=10.1007%2F978-3-031-44204-9_21&partnerID=40&md5=378726ddfd980d58ed4bf8ee10100a07,Conference paper,Artificial Neural Networks and Machine Learning,Austria,Graz University of Technology; Silicon Austria Labs,Exploration on OOD generalization and detection based on training data.,Evaluation study,"Maximum softmax probability, ODIN , energy score function, outlier exposure","Post hoc detection scoring, Analysis/benchmark",POSTHOC INFERENCE,both,yes,ResNet-18,"MNIST, BW-MNIST, C-MNIST, DC-MNIST, WL-MNIST, WL-MNIST (Flip), PT-MNIST, PT-MNIST (Flip), SVHN","BW-MNIST, C-MNIST, DC-MNIST, WL-MNIST, WL-MNIST (Flip), PT-MNIST, PT-MNIST (Flip)","CIFAR-10 Silhouettes, Omniglot (all variants)","ID ACC, AUROC, FPR95",General,No,-,Yes,-
"P. Bele, V. Bundele, et al.",Learning class and domain augmentations for single-source open-DG,2024,,Conference paper,ICCV,"India, Germany",Indian Institute of Technology Bombay; Goethe University Frankfurt,"Correctly classify domain shift, generate unnknown classes",New method,"Generate new domains using the styles of two images. Feature aggregation Block takes two different classes, combines them and then the result as unknown. ","unknown class handling, Data augmentation and synthetic-shift methods",TRAINING,both,no,"ResNet-18, LeNet","Office-Home, Office-31, PACS, Digits","Office-Home, Office-31, PACS, Digits","Office-Home, Office-31, PACS, Digits","H-Score, Accuracy",General,No,-,Yes,-
"Yellapragada, S.; Thopalli, K.; Narayanaswamy, V.; Sakla, W.; Liu, Y.; Mubarka, Y.; Samaras, D.; Thiagarajan, J.J.",Leveraging Registers in Vision Transformers for Robust Adaptation,2025,https://www.scopus.com/inward/record.uri?eid=2-s2.0-105003873011&doi=10.1109%2FICASSP49660.2025.10889287&partnerID=40&md5=05771a4b8bbf0e99f3e13c4eb9c480be,Conference paper,ICASSP,USA,Stony Brook University; Lawrence Livermore National Laboratory,Change how yoken embedding are combined for robustness,Method extension/modification,extends existing Vision Transformer (ViT) models by leveraging register tokens as additional features for downstream tasks.,Domain generalization,TRAINING,far,no,DINOv2 ViT,ImageNet-1K,"ImageNet-A, ImageNet-R, ImageNet-S","DTD, SVHN, Places365, LSUN, iSUN","FPR@TPR95, AUROC, Top@1 ACC",General,No,-,Yes,-
"Wang, H.; Zhao, C.; Chen, F.",MADOD: Generalizing OOD Detection to Unseen Domains via G-Invariance Meta-Learning,2024,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85218045616&doi=10.1109%2FBigData62323.2024.10825441&partnerID=40&md5=52d608b3a5b35ca7d62109fd3886ee3e,Conference paper,IEEE International Conference on Big Data,USA,Baylor University; University of Texas at Dallas,NEW METHOD META-LEARNING + DOMAIN GENERALIZATION + OOD DETECTION,New method,"Madod: constructs many training tasks where some in-distribution (ID) classes are randomly treated as pseudo-OOD, allowing the model to simulate OOD scenarios without needing real OOD data. Within each task, it uses a bi-level meta-learning process: an inner loop learns task-specific decision boundaries, while an outer loop improves generalization across tasks. To ensure robustness across domains, MADOD enforces G-invariance, encouraging features to remain stable under domain transformations, and applies an energy-based regularization to separate ID and OOD samples. After training, the model can directly generalize to new, unseen domains, without any test-time adaptation.","Energy Based, Domain generalization",TRAINING,Near,yes,ResNet-50,"Colored MNIST, PACS, VLCS, TerraIncognita","Colored MNIST, PACS, VLCS, TerraIncognita","Colored MNIST, PACS, VLCS, TerraIncognita","AUPR, AUROC, ID ACC",General,Yes,https://github.com/haoliangwang86/MADOD,Yes,https://huggingface.co/datasets/BGLab/TerraIncognita
"Chen, Y.; Wu, Y.; Wang, T.; Zhang, S.; Zhu, D.; Liu, C.",Mitigating covariance overfitting in out-of-distribution detection through intrinsic parameter learning,2025,https://www.scopus.com/inward/record.uri?eid=2-s2.0-105000304616&doi=10.1016%2Fj.knosys.2025.113318&partnerID=40&md5=c661c979ccd73cd8c87f914a4c0ff59f,Article,Knowledge-Based Systems,"China, USA, Canada",Fujian Normal University; Quanzhou Normal University; Xi’an Jiaotong-Liverpool University; University of British Columbia; University of Maryland,New method that mitigates covariance effect during training,New method,"Intrinsic Parameter Learning which separates model parameters into intrinsic and extrensic to address OOD detection under covariance shift from the parameter perspective. They present A new criterion for identifying these parameters (based on weights + gradients), different update rules for each group and a constrained optimization strategy to control logits",Domain generalization,TRAINING,far,yes,"ResNet-18, CLIP ViT-B/16","CIFAR-10, CIFAR-100, ImageNet-200","CIFAR-10-C, CIFAR-100-C, ImageNet-C, ImageNet-R, ImageNet-V2","MNIST, SVHN, Textures, Places365, NICO, iNaturalist, OpenImages","AUROC, FPR95",General,Yes, https://github.com/qzsy765/IPL ,Yes,-
D. S. W. Williams; D. D. Martini; M. Gadd; P. Newman,Mitigating Distributional Shift in Semantic Segmentation via Uncertainty Estimation From Unlabeled Data,2024,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10530426,Article,IEEE TRANSACTIONS ON ROBOTICS,UK,University of Oxford,novel semi-supervised method for uncertainty estimation + OOD detection in semantic segmentation,New method,semi-supervised segmentation method that learns pixel-wise uncertainty and OOD detection from unlabelled target-domain data using consistency across augmentations. It uses a prototype-based feature space with a learned threshold (γ) to separate certain (in-distribution) pixels from uncertain (distribution-shifted or OOD) ones in a single forward pass.,Uncertainty and Bayesian evidential methods,TRAINING,both,no,"DeepLabV3+, ResNet-18",Cityscapes,"SAX, Berkeley DeepDrive10K, KITTI","BDD10K, KITTI","AUROC, AUPR, F1-SCORE, Misclassification Detection ACC, ""p(a,c) = (AmD and F0,5) """,Autonomous Driving,No,-,Yes,-
"Oza, Poojan and Nguyen, Hien V. and Patel, Vishal M.",Multiple Class Novelty Detection Under Data Distribution Shift,2020,https://doi.org/10.1007/978-3-030-58571-6_26,Conference paper,16th european conference on COMPUTER VISION,USA,Johns Hopkins University; University of Houston,Method that unifies novelty detection and Domain adaptation,New method,"Softmax, ALOCC, GRL. Combines gradient reversal training to reduce domain gap between source and target, then novelty detection with ALOCC. ",Domain generalization,TRAINING,both,no,ALOCC,"SVHN, MNIST, USPS, Office-31","SVHN, MNIST, USPS, Office-31","SVHN, MNIST, USPS, Office-31",AUC,General,No,-,Yes,-
"Liu, Y.; Tian, C.X.; Li, H.; Ma, L.; Wang, S.",NEURON ACTIVATION COVERAGE: RETHINKING OUT-OF-DISTRIBUTION DETECTION AND GENERALIZATION,2024,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85192602137&partnerID=40&md5=5d4b01c84d9c160921334570e2cb7d2b,Conference paper,ICLR,"China, Japan",University of Hong Kong; University of Tokyo,New mesure for neuron activation,New method,NAC-UE: directly averages coverage scores over all neurons as data uncertainty. NAC-ME:measures model robustness by integrating the coverage distribution of all neurons.,Uncertainty and Bayesian evidential methods,POSTHOC INFERENCE,both,no,"ResNet-50, ViT-B/16, ResNet-18","CIFAR-10, CIFAR-100, ImageNet","PACS, VLCS, Office-Home, TerraIncognita","iNaturalist, Textures, OpenImages","FPR95, AUROC, Spearman Ranck Correlation, OOD ACC",General,Yes,https://github.com/BierOne/ood coverage ,Yes,-
"Li, Y., et al.",On the robustness of open-world test-time training: Self-training with dynamic prototype expansion,2023,,Conference paper,ICCV,China,South China University of Technology,open-world test-time training,New method,"detects and prunes strong OOD samples using a hyperparameter-free scoring method based on similarity to class prototypes, and then dynamically expands the prototype set to model strong OOD clusters separately. They further improve robustness by adding distribution alignment regularization between source and target features.","Test-time adaptation and filtering, Prototype",TTA,both,no,ResNet-50,"CIFAR-10, CIFAR-100, ImageNet","CIFAR-10-C, CIFAR-100-C, ImageNet-C, VisDA-C, ImageNet-R","MNIST, SVHN, TinyImageNet","ID ACC, OOD ACC, H-Score",General,Yes,https://github.com/Yushu-Li/OWTTT,Yes,-
"Yang Shu, Zhangjie Cao, Chenyu Wang, et al.",open domain generalization with domain-augmented meta-learning,2022,,Conference paper,CVPR,China,Tsinghua University,Open Domain Generalization,New architecture,"Domain-Augmented Meta-Learning (DAML), a meta-learning framework designed to improve cross-domain generalization under these mismatched label conditions. DAML introduces two key innovations: Dirichlet Mixup (Dir-mixup), which mixes features across multiple source domains using a Dirichlet distribution to create more diverse training samples, and distilled soft-labeling, which transfers knowledge between domains using predictions from other domain-specific models","Data augmentation and synthetic-shift methods, Domain generalization",TRAINING,far,no,DAML,"PACS, Office-Home, Office-31, STL-10, VisDA-2017","PACS, Office-Home, Office-31, STL-10, VisDA-2017","PACS, Office-Home, Office-31, STL-10, VisDA-2017","H-Score, Accuracy",General,No,-,Yes,-
"Yang, Zhen and Yue, Jun and Ghamisi, Pedram and Zhang, Shiliang and Ma, Jiayi and Fang, Leyuan",Open Set Recognition in Real World,2024,,Article,,"China, Germany",Hunan University; Central South University; Helmholtz Institute Freiberg for Resource Technology,CIOSR (Causal Inference-inspired Open-Set Recognition),New architecture,"new learning objectives (CCI loss + SCU loss + sample weighting + joint decision rule). specific network design (CIOSR pipeline) that includes:feature extractor + sample weighting module
CCI module (inter-class decorrelation)
SCU module (intra-class compactness)
RFF transformation layers
causal-score + classifier joint decision at inference",Domain generalization,HYBRID METHODS,far,no,"ResNet-18, ResNet-50, ResNet-34","NICO, VLCS, PACS","NICO, VLCS, PACS","NICO, VLCS, PACS","AUROC, F1-SCORE, known class accuracy",General,Yes,https://github.com/yangzhen1252/RWOSR1,Yes,-
"Katsumata, K., et al.",OPEN-SET DOMAIN GENERALIZATION VIA METRIC LEARNING,2021,,Conference paper,ICIP,Japan,The University of Tokyo; Woven Planet Holdings,combines domain generalization and open-set recognition,New method,"metric-learning framework with a novel “decoupling loss”, which explicitly spreads representations of unknown-class samples in feature space so they are more separable from known classes. The method combines this decoupling loss with standard triplet loss and integrates it into a domain generalization objective, enabling both cross-domain invariance and open-set discrimination","Prototype, unknown class handling",TRAINING,far,no,ResNet-50,"VLCS, DomainNet","VLCS, DomainNet","VLCS, DomainNet",Accuracy,General,No,,Yes,
"Shao, J.-J.; Yang, X.-W.; Guo, L.-Z.",Open-set learning under covariate shift,2024,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85140850374&doi=10.1007%2Fs10994-022-06237-1&partnerID=40&md5=22f3a69e34ed6f16a951c42abf8830ee,Article,Machine Learning- Springer Nature,China,Nanjing University,SC–OSG (Supervised Contrastive Learning for Open-Set Learning under covariate shift),New method,"synthetic data generation strategy called EnvMix, which decomposes images into semantic and environmental components (using feature attribution like Grad-CAM) and recombines them to simulate diverse environments. The model is trained using supervised contrastive loss plus an open-set detection objective, and uses a confidence-based scoring mechanism at inference to reject unknown classes.","Contrastive and representation learning, Data augmentation and synthetic-shift methods",TRAINING,both,no,ResNet-18,"ImageCLEF-DA, NICO, WILDS-FMoW","ImageCLEF-DA, NICO, WILDS-FMoW","ImageCLEF-DA, NICO, WILDS-FMoW","AUROC, ID ACC, Open Set Classification Rate",General,No,-,Yes,-
M. Gutbrod; D. Rauber; D. W. Nunes; C. Palm,OpenMIBOOD: Open Medical Imaging Benchmarks for Out-Of-Distribution Detection,2025,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=11094279,Conference paper,CVPR,Germany,Regensburg Medical Image Computing,extensive empirical evaluation of existing methods,Evaluation study,"evaluate 24 existing post-hoc OOD detection methods across different benchmarks and find that performance patterns from natural image benchmarks (e.g., ImageNet-based OOD studies) do not transfer well to medical imaging.","Analysis/benchmark, Post hoc detection scoring",POSTHOC INFERENCE,both,yes,CNN ,"PhaKIR Challenge, OASIS-3","PhaKIR Challenge, OASIS-3","Cholec80, EndoVis 2015, EndoVis 2018, Kvasir-Seg, CATARACTS, ATLAS, BraTS, Medical Segmentation Decathlon (Heart), CHAOS","AUROC, AUPR IN, AUPR OUT, FPR95",Medical Image,Yes,https: //github.com/remic-othr/OpenMIBOOD,Yes,-
"J. Zhang, J. Yang, P. Wang, et al.",OpenOOD v1.5: Enhanced benchmark for out-of-distribution detection,2024,,Article,Journal of Data-centric Machine Learning Research,"USA, Singapore, Australia, Switzerland",Duke University; Nanyang Technological University; The Australian National University; EPFL; University of Wisconsin–Madison,large-scale benchmarking study for out-of-distribution (OOD) detection that aims to standardize and improve evaluation consistency across the field,Evaluation study,"40 OOD detection methods across post-hoc, training-based, and data augmentation approaches, and evaluates them under both standard OOD detection and a more challenging full-spectrum setting that includes both semantic and covariate shifts.","Analysis/benchmark, Data augmentation and synthetic-shift methods, Post hoc detection scoring",POSTHOC INFERENCE,both,yes,"ResNet-50, ViT-B, Swin-T","CIFAR-10, CIFAR-100, ImageNet-200, ImageNet-1K","ImageNet-C, ImageNet-R, ImageNet-V2","CIFAR-10, CIFAR-100, TinyImageNet, SSB-Hard, NINCO, iNaturalist, Textures, Places365, OpenImages, MNIST, SVHN","AUROC, AUPR, FPR95",General,Yes,https://github.com/Jingkang50/OpenOOD/  ,Yes,-
"Marvasti, A.E.; Marvasti, E.E.; Bagci, U.","Out of Distribution Detection, Generalization, and Robustness Triangle with Maximum Probability Theorem",2022,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85146421176&doi=10.1109%2FICECCME55909.2022.9988128&partnerID=40&md5=a1b98d584541a51aec286077106682b2,Conference paper,ICECCME,USA,Currus AI; Northwestern University,"Maximum Probability Theorem (MPT) as a black-box regularization framework to improve generalization, robustness, and OOD detection",Method extension/modification,"MPT regularization stabilizes training and prevents overconfident predictions, making models resilient to input perturbations like noise. It detects semantic shift (OOD data) by modeling the joint input-label distribution as an energy-based model and using the Max Energy Score, which assigns lower scores to unfamiliar inputs.","Energy Based, Post hoc detection scoring",HYBRID METHODS,far,yes,12-layer CNN (CReLU activation),CIFAR-10,"CIFAR-100, MNIST","MNIST, KMNIST, SVHN, STL-10, Fashion-MNIST","AUC, AUROC",General,No,-,Yes,-
"Gwon, K.; Yoo, J.",Out-of-Distribution (OOD) Detection and Generalization Improved by Augmenting Adversarial Mixup Samples,2023,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85151747114&doi=10.3390%2Felectronics12061421&partnerID=40&md5=36c63e3d60f5b65ca8562209cef28fdb,Article,Electronics (Switzerland),Korea,TWiM Co; Daegu University,adversarial mixup (AM) training method which simply executes OOD data augmentation to synthesize differently distributed data and designs a new AM loss function to learn how to handle OOD data.,Method extension/modification,"combining data mixup with adversarial training, generating new samples that expand the training distribution and enhance robustness. During inference, a Mahalanobis distance-based detector is used instead of softmax to reduce overconfidence and accurately separate ID from OOD samples. The training loss mixes cross-entropy on original and AM samples, weighted by a random factor","Data augmentation and synthetic-shift methods, Post hoc detection scoring",POSTHOC INFERENCE,far,no,"ResNet-18, VGG-16","CIFAR-10, SVHN, ImageNet (Crop), ImageNet (Resize), LSUN (Crop), LSUN (Resize), ObjectNet, iSUN","CIFAR-10-C, ImageNet-C, ImageNet-P, ImageNet-A, ImageNet-V2, YouTube-BB-Robust, ImageNet-Vid-Robust","CIFAR-10, CIFAR-10-C, ImageNet-C, SVHN, ImageNet-P, ImageNet (Crop/Resize), ImageNet-A, ImageNet-V2, LSUN (Crop/Resize), ObjectNet, ImageNet-Vid-Robust, iSUN, YouTube-BB-Robust","AUROC, FPR(Semantic Examples)@TPR(ID)95, AUPR IN, AUPR OUT",General,No,-,Yes,-
"Pocevičiūtė, M.; Ding, Y.; Bromée, R.; Eilertsen, G.",Out-of-distribution detection in digital pathology: Do foundation models bring the end to reconstruction-based approaches?,2025,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85208597980&doi=10.1016%2Fj.compbiomed.2024.109327&partnerID=40&md5=beb276308821b0d72289597325cdd4e8,Article,Computers in Biology and Medicine,Sweden,Linköping University,Adaptation of latent diffusion model for OOD detection,Method extension/modification,"AnoLDM: latent-space diffusion-based reconstruction method for OOD detection, where the key idea is that ID-trained denoising fails to perfectly reconstruct OOD features, giving a measurable discrepancy that serves as the OOD score","""Reconstruction, generative, diffusion""",TRAINING,both,no,"Latent Diffusion Model (VQ-VAE autoencoder), VGG",Camelyon17,AIDA BRLN Dataset,"Colon Dataset (Rijnstate Hospital), AIDA LNCO","AUROC, FPR95",Medical Image,No,-,Yes, https://gigadb.org/dataset/100439 https://datahub.aida.scilifelab.se/10.23698/aida/lnco2 https://datahub.aida.scilifelab.se/10.23698/aida/brln   
"Bai, H.; Du, X.; Rainey, K.; Parameswaran, S.; Li, Y.",Out-of-Distribution Learning with Human Feedback,2025,https://www.scopus.com/inward/record.uri?eid=2-s2.0-105005223122&partnerID=40&md5=42f8f00983dae0f1057b229c8e5154ee,Article,Transactions on Machine Learning Research,USA,University of Wisconsin–Madison,OOD generalization (covariate shift) and OOD detection (semantic shift) by selectively labeling a small number of informative samples from unlabeled wild data using human feedback.,New method,"initial ID classifier, uses gradient deviations of unlabeled wild samples to identify those most different from ID data, selects a small set of such samples for human labeling, retrains a classifier (using labeled covariate OOD) and an OOD detector (using labeled semantic OOD).",Human in the loop,HYBRID METHODS,far,yes,WideResNet-40-2,CIFAR-10,CIFAR-10-C,"SVHN, Textures, LSUN, Places365, PACS","ID ACC, OOD ACC, FPR95, AUROC",General,No,-,Yes,-
